"northing","easting"
147089.495545663,615143.559482731
138399.888028763,619275.160336122
139743.0417649,617194.59909755
131762.19469538,608695.409625284
140931.224292181,607795.593561903
136036.650444958,602976.238458585
139878.365939919,609144.554152366
138793.520820886,609751.179283299
136250.90858506,607500.327650812
138969.488137029,607195.451893285
136081.824627332,608811.696316116
136812.812961452,601979.459126573
134272.288410552,603978.584747855
130454.908304289,608927.710051835
132533.795867078,610112.967973184
139086.950454488,604928.28855766
143789.687693454,619524.976419359
142215.251757596,615846.916297264
146812.003853023,614482.541343048
144882.793232575,616988.353177141
137186.990578268,619557.772831153
147413.424293119,614935.369538683
148081.066014487,613603.696179725
147278.795148525,615898.646107856
147505.17777063,614920.211458746
149337.124997694,618358.294935562
147693.57613869,611948.797205258
141553.806646734,615022.077059664
146856.494809315,622243.594720494
143083.070922453,619930.517525919
146335.621657744,618810.054115728
146212.879948076,614608.69067689
143844.216518998,616508.366389666
148583.838160615,616700.475774892
147159.402922448,612826.379922032
144458.307242386,614785.873909477
150219.003827211,617906.155928936
144078.637407906,620998.147360701
143483.467351831,615512.075593509
147829.975571681,614564.265170649
148128.271418739,617449.336946189
149504.936383534,607768.26081967
148032.658918299,609480.377253059
141827.929494344,610546.035998873
147677.372151241,612274.577549566
141135.913619418,614070.63918978
144789.668542314,613426.310120914
141275.401454233,607699.346050154
136139.596166369,627917.899365816
142637.727362163,618757.805175316
134594.597146232,627367.873791493
138842.171720508,622935.719994362
139181.125761092,626110.469544694
142719.145967625,621933.495228272
142022.169989999,617248.41319602
144657.0684826,620771.671726927
138541.548110917,625221.085202787
137577.555663493,616652.48302605
135854.073078502,613945.690166127
133278.289505653,616713.934123982
136680.783771452,612566.021977458
141993.292245269,613622.147929668
136950.278741699,607017.676891666
140634.899781086,619323.930696025
141594.413082395,615199.418536108
139266.270817723,613906.898337975
142417.140105926,612890.795659926
138856.015176605,620483.485633414
130687.388614193,614737.610252686
137008.84803554,608985.504604474
130080.839234959,614228.449835636
132561.797537576,613881.33837251
137950.99941669,610516.52175216
135935.999864675,614178.472155605
141407.216006983,615183.60172417
138060.915434454,615665.073310304
140860.688216705,614068.380043935
140889.079251233,620581.96771713
140994.268936753,618043.734477762
135077.323487587,618176.131022666
139158.269185368,616796.100979745
141808.378747664,618724.84054219
135756.607268937,615221.028496046
137927.911391668,619217.725482769
135751.246766504,613768.906486705
138989.296643566,613934.615449924
141444.286708478,612074.393857811
134770.0237564,607854.616546296
133018.432000838,612184.230817463
135933.562363349,605407.374154031
137129.591214005,614797.682566382
142628.023000836,614933.985043582
133338.326990418,614642.9022911
140104.197430704,611640.483781137
142643.228223175,613025.042351522
137193.997200672,613503.407395631
135532.727121562,614238.887596875
135612.96897782,612890.941520594
139109.114600904,608620.933272876
148656.4328623,611698.192472942
148462.88917765,615857.962544262
144777.213239484,613925.985048991
144801.642303541,618885.956982337
143135.058776531,612985.412323128
146947.336820755,617201.413031183
151606.310954969,617496.253096592
147847.375833802,618593.180268649
148074.364009872,615669.532314409
150551.935474239,614921.800689269
150955.006569438,615655.172686744
152276.616888579,612497.122279841
149436.933606397,617333.090896718
140463.69695086,609880.303087737
151429.420416117,616280.020850994
147642.768309824,609617.087760288
144014.447675105,614444.765999429
142305.094931461,617257.882819697
139674.438651185,612446.731503122
141132.922592293,609171.152787749
145310.748009477,612288.206639048
141263.547343668,609678.697109874
143351.54895857,608180.187501013
140107.798802149,615203.154819753
157680.607164446,598815.560664684
158078.821783997,602388.408503737
159209.74459108,607083.905927371
158154.446856864,594490.988883469
163624.737566337,601746.539912436
166361.963502318,606221.918775328
162406.465188842,604266.786672529
163130.90459602,603113.795858249
158050.541342895,605094.916212223
160211.109369528,600644.475228712
164352.614622097,607658.95207189
161555.826835595,611964.338278528
159600.189109053,602388.974597026
159361.352936961,607172.471207213
152534.99443192,594695.849186536
154635.380226281,599411.76275555
155036.521508358,600196.007113904
161273.409490753,603537.051413488
156431.223581266,603381.258669123
155630.045024958,596584.069562145
160818.572519112,600392.143395424
158677.08730679,602767.301180214
151722.023956664,604410.255018342
148228.635884915,592937.220117375
154622.0324005,596808.202599455
156026.105270907,601844.370125048
154391.752583105,602632.490154784
149302.930174861,595954.424752854
155403.742655549,602698.983851083
157245.556321666,602550.651705004
158974.353903346,600533.822277375
157921.903718729,598234.574078489
158722.955776285,601446.015192475
155388.625268932,596870.338108446
152332.239286974,601679.416745529
160492.153184395,608246.881080512
158455.066735931,604911.019202545
161174.356111195,603502.669611033
162388.58433459,608390.558622032
161717.258419231,611358.413284998
155731.164361309,605196.991764002
153875.704269297,618175.046829544
156078.675060738,614972.524207663
152465.406826157,612618.438369874
151505.26313192,618256.045727868
156480.850576144,614559.338801447
160384.149983339,608459.727643803
165444.400447421,616854.683042224
163768.59994689,613750.138923991
156782.014441881,616060.28463982
154229.45528508,611040.765621223
159288.271730907,611415.943585429
157648.862447433,619655.593563836
154787.851344969,612333.793140851
149560.488021299,618746.826042365
154155.228083193,617900.103015404
156084.031571582,614015.257249545
154988.148359064,619499.3789776
144713.550543301,614454.252830651
155609.159734931,616828.138399515
153568.152412865,612154.468188997
157366.801578395,612157.760135204
156659.656436164,606902.984702121
152440.398726109,613581.188717838
153966.941445321,607653.370354883
159687.683473714,609147.070604563
167396.190615278,620336.951648816
163425.80744233,627583.350913599
159498.531181179,625290.880748909
169772.257855628,623518.3359975
162358.192656487,616179.047960825
161150.734584332,618545.762409475
165148.497554895,617189.654504701
161478.482600395,616531.021397438
154730.903521366,615279.785458874
150518.495421484,615160.10429468
151690.400849167,617726.140292432
144733.681726456,616674.651989248
151757.776007447,616987.307561934
148753.423013259,615368.886094633
150057.407889515,612664.498431887
162930.834728386,615763.365657255
151096.258101072,613501.340278629
161247.499818634,608260.329006519
146258.608896695,616201.573718358
148270.623697434,619928.044040874
151016.691180039,618452.438899316
149132.533768509,612538.393514026
150291.133988097,620005.091481134
145184.036021437,607145.264470987
149826.005439833,614623.052823078
149115.358879045,616828.248997033
150053.816049825,613735.495110136
162350.525877792,616301.05264103
163188.878970567,621690.917628024
161021.179509871,627551.062417012
163042.326206807,633840.963757597
162276.022240091,633473.869595613
161416.471769858,634334.150780506
166488.393582404,631386.618967075
160778.453446813,634061.385366891
171324.655367706,637387.003929559
167557.85436517,629554.567159805
163280.064473543,621902.524843309
163301.439194474,623781.736158673
169541.861117613,627659.270320591
130824.437735952,608274.007592469
132004.222856805,611535.358102996
129215.321446024,605885.419446044
129775.72294632,614737.214796897
129050.340509787,607721.697009169
125188.133703824,605396.937753819
134592.187633216,604960.665602591
124219.776670095,608661.347747091
135146.421307195,601859.81312165
129706.113184895,609345.705474354
135127.578726541,603971.802664082
133927.515438199,607220.130675118
131963.146796841,602305.201475974
130908.440207355,609887.755908687
